행정코드,area_m2,연도
11290,1.33E+07,2019
11470,7781746.325,2019
11545,5241424.82,2019
11170,7603463.378,2019
11710,1.28E+07,2019
11620,1.85E+07,2019
11305,1.60E+07,2019
11590,7242451.594,2019
11410,9138353.143,2019
11380,1.81E+07,2019
11350,2.53E+07,2019
11200,5395798.162,2019
11320,1.37E+07,2019
11500,1.46E+07,2019
11680,1.92E+07,2019
11740,1.01E+07,2019
11560,6736840.807,2019
11530,8562044.799,2019
11440,8093102.562,2019
11110,1.62E+07,2019
11140,3279997.677,2019
11260,8007110.8,2019
11650,3.09E+07,2019
11215,5988464.932,2019
11230,4246858.992,2019
11290,1.36E+07,2020
11470,8051505.602,2020
11545,5351026.351,2020
11170,7992476.497,2020
11710,1.29E+07,2020
11620,1.86E+07,2020
11305,1.61E+07,2020
11590,7338247.068,2020
11410,9417474.743,2020
11380,1.84E+07,2020
11350,2.54E+07,2020
11200,5629025.798,2020
11320,1.36E+07,2020
11500,1.76E+07,2020
11680,1.93E+07,2020
11740,1.04E+07,2020
11560,6948129.368,2020
11530,8941083.494,2020
11440,8398726.732,2020
11110,1.63E+07,2020
11140,3336739.937,2020
11260,8141686.402,2020
11650,3.13E+07,2020
11215,6183592.66,2020
11230,4412513.943,2020
11290,1.38E+07,2021
11470,8039392.817,2021
11545,5429349.618,2021
11170,8301964.94,2021
11710,1.35E+07,2021
11620,1.87E+07,2021
11305,1.61E+07,2021
11590,7502429.217,2021
11410,9573429.65,2021
11380,1.86E+07,2021
11350,2.59E+07,2021
11200,5899263.253,2021
11320,1.37E+07,2021
11500,1.88E+07,2021
11680,1.95E+07,2021
11740,1.04E+07,2021
11560,7300598.976,2021
11530,9262311.446,2021
11440,8754985.741,2021
11110,1.65E+07,2021
11140,3392700.208,2021
11260,8452525.958,2021
11650,3.15E+07,2021
11215,6259568.3,2021
11230,4615299.713,2021
11290,1.03E+07,2022
11470,5292349.769,2022
11545,3819532.541,2022
11170,4619296.526,2022
11710,8235243.655,2022
11620,1.66E+07,2022
11305,1.45E+07,2022
11590,4958999.244,2022
11410,7110616.169,2022
11380,1.56E+07,2022
11350,2.03E+07,2022
11200,2985966.238,2022
11320,1.13E+07,2022
11500,8892209.782,2022
11680,1.36E+07,2022
11740,6664534.895,2022
11560,3824799.71,2022
11530,5942909.207,2022
11440,5563846.477,2022
11110,1.31E+07,2022
11140,2159566.194,2022
11260,6166492.676,2022
11650,2.54E+07,2022
11215,4210836.57,2022
11230,2486222.314,2022
11290,1.06E+07,2023
11470,5440402.264,2023
11545,3964569.81,2023
11170,5128376.914,2023
11710,8904821.967,2023
11620,1.67E+07,2023
11305,1.46E+07,2023
11590,5324282.693,2023
11410,7395759.888,2023
11380,1.60E+07,2023
11350,2.07E+07,2023
11200,3352117.425,2023
11320,1.15E+07,2023
11500,1.42E+07,2023
11680,1.40E+07,2023
11740,7361640.183,2023
11560,4265089.245,2023
11530,6277983.175,2023
11440,6230294.971,2023
11110,1.37E+07,2023
11140,2211896.588,2023
11260,6493700.818,2023
11650,2.59E+07,2023
11215,4498298.178,2023
11230,2669714.942,2023
11290,1.08E+07,2024
11470,5815415.775,2024
11545,4066294.915,2024
11170,5437584.102,2024
11710,9519935.524,2024
11620,1.69E+07,2024
11305,1.47E+07,2024
11590,5481276.818,2024
11410,7532781.992,2024
11380,1.63E+07,2024
11350,2.11E+07,2024
11200,3565082.624,2024
11320,1.15E+07,2024
11500,1.42E+07,2024
11680,1.45E+07,2024
11740,7678170.564,2024
11560,4597312.15,2024
11530,6590843.104,2024
11440,6388225.379,2024
11110,1.38E+07,2024
11140,2306570.414,2024
11260,6637448.876,2024
11650,2.63E+07,2024
11215,4487044.479,2024
11230,2611818.712,2024
